"","idx","variable","value"
"1",30,"intercept",0
"2",30,"fpMain",0
"3",30,"oneBackFPMain",0
"4",30,"interaction",0
"5",31,"intercept",0.136914803080224
"6",31,"fpMain",0.000131538208065044
"7",31,"oneBackFPMain",-0.000820924304093697
"8",31,"interaction",1.56146033904343e-06
"9",32,"intercept",0.152834137202014
"10",32,"fpMain",0.000297048328036099
"11",32,"oneBackFPMain",-0.00137744193641275
"12",32,"interaction",4.9988016874311e-07
"13",33,"intercept",0.586617823993016
"14",33,"fpMain",0.00180168715670111
"15",33,"oneBackFPMain",-0.00165887759790641
"16",33,"interaction",-8.40185369882865e-08
"17",34,"intercept",1.21431771398485
"18",34,"fpMain",0.00159129134896319
"19",34,"oneBackFPMain",-0.00274510801986202
"20",34,"interaction",4.28669542358338e-06
"21",35,"intercept",0.953261606610585
"22",35,"fpMain",0.000361116847279984
"23",35,"oneBackFPMain",-0.00246989980834181
"24",35,"interaction",7.06830475686097e-06
"25",36,"intercept",1.36784632646068
"26",36,"fpMain",-0.00069777309404241
"27",36,"oneBackFPMain",-0.00295615518026578
"28",36,"interaction",7.39011224410159e-06
"29",37,"intercept",2.28644823899221
"30",37,"fpMain",-0.00185697583356908
"31",37,"oneBackFPMain",-0.00237416743957289
"32",37,"interaction",7.25668083831038e-06
"33",38,"intercept",1.97485805936661
"34",38,"fpMain",-0.0020438343677575
"35",38,"oneBackFPMain",-0.00293249861387978
"36",38,"interaction",7.29839353914002e-06
"37",39,"intercept",2.21229676215874
"38",39,"fpMain",-0.00247132719972278
"39",39,"oneBackFPMain",-0.00182677641989667
"40",39,"interaction",4.82681806851214e-06
"41",40,"intercept",3.16684495751071
"42",40,"fpMain",-0.00237629135294171
"43",40,"oneBackFPMain",-0.00244265092261287
"44",40,"interaction",4.93453266811569e-06
"45",41,"intercept",4.38316741284987
"46",41,"fpMain",-0.00344781467148065
"47",41,"oneBackFPMain",-0.00384105949550121
"48",41,"interaction",7.33962475615482e-06
"49",42,"intercept",4.72707851895729
"50",42,"fpMain",-0.00418458881505948
"51",42,"oneBackFPMain",-0.0049984739629331
"52",42,"interaction",1.0355315164171e-05
"53",43,"intercept",4.61185341960037
"54",43,"fpMain",-0.00359600647811766
"55",43,"oneBackFPMain",-0.00651700184488401
"56",43,"interaction",1.25825240216661e-05
"57",44,"intercept",5.39218472979966
"58",44,"fpMain",-0.00292208272151142
"59",44,"oneBackFPMain",-0.00621612114408909
"60",44,"interaction",1.22216495847834e-05
"61",45,"intercept",5.68051910856274
"62",45,"fpMain",-0.00246077649094338
"63",45,"oneBackFPMain",-0.007177300907546
"64",45,"interaction",1.15194026309419e-05
"65",46,"intercept",6.29867583759275
"66",46,"fpMain",-0.00330289993805448
"67",46,"oneBackFPMain",-0.00599836854058421
"68",46,"interaction",1.315379130445e-05
"69",47,"intercept",5.89428601289653
"70",47,"fpMain",-0.00405776912545784
"71",47,"oneBackFPMain",-0.00652320966110448
"72",47,"interaction",1.33066788400913e-05
"73",48,"intercept",5.0512334207308
"74",48,"fpMain",-0.00295142084531828
"75",48,"oneBackFPMain",-0.00650295817227556
"76",48,"interaction",1.15138507211692e-05
"77",49,"intercept",4.55588253849418
"78",49,"fpMain",-0.00400555426238509
"79",49,"oneBackFPMain",-0.0064665155743233
"80",49,"interaction",1.07914530699331e-05
"81",50,"intercept",4.32623125104903
"82",50,"fpMain",-0.0027290522720582
"83",50,"oneBackFPMain",-0.00700681351158258
"84",50,"interaction",9.36871260727517e-06
"85",51,"intercept",4.21543000972429
"86",51,"fpMain",-0.000955769041326238
"87",51,"oneBackFPMain",-0.00724582794554034
"88",51,"interaction",1.02359981228159e-05
"89",52,"intercept",4.121517260221
"90",52,"fpMain",-0.00091855242150098
"91",52,"oneBackFPMain",-0.007477582674992
"92",52,"interaction",7.17018211472256e-06
"93",53,"intercept",3.64681435768648
"94",53,"fpMain",-2.59490760401467e-05
"95",53,"oneBackFPMain",-0.00791198034228698
"96",53,"interaction",8.73875105908461e-06
"97",54,"intercept",3.85932787826289
"98",54,"fpMain",0.000839489963281785
"99",54,"oneBackFPMain",-0.00840573740270989
"100",54,"interaction",8.83847454269619e-06
"101",55,"intercept",3.84644575903474
"102",55,"fpMain",0.00125960954137653
"103",55,"oneBackFPMain",-0.00920806540747093
"104",55,"interaction",7.67167332171958e-06
"105",56,"intercept",3.94036972859377
"106",56,"fpMain",0.00150293584113594
"107",56,"oneBackFPMain",-0.00878367347552676
"108",56,"interaction",6.26439160039608e-06
"109",57,"intercept",3.94460731807437
"110",57,"fpMain",0.000713400323668712
"111",57,"oneBackFPMain",-0.00758359632350264
"112",57,"interaction",5.69670708113125e-06
"113",58,"intercept",4.19805868435081
"114",58,"fpMain",2.39585002591084e-05
"115",58,"oneBackFPMain",-0.00820014733660479
"116",58,"interaction",6.36506300088149e-06
"117",59,"intercept",4.27777549175415
"118",59,"fpMain",-9.2471670384949e-05
"119",59,"oneBackFPMain",-0.00929703823335518
"120",59,"interaction",4.74601194278363e-06
"121",60,"intercept",4.52444646080926
"122",60,"fpMain",-0.00020267915595476
"123",60,"oneBackFPMain",-0.00903536708792599
"124",60,"interaction",3.8601067572087e-06
"125",61,"intercept",4.59441567909835
"126",61,"fpMain",0.000175940235678372
"127",61,"oneBackFPMain",-0.010409056837377
"128",61,"interaction",5.62547782866023e-06
"129",62,"intercept",4.22250816714151
"130",62,"fpMain",0.000106377414647231
"131",62,"oneBackFPMain",-0.00987835965669937
"132",62,"interaction",7.97754744734475e-06
"133",63,"intercept",4.52835736547147
"134",63,"fpMain",3.26909511929523e-05
"135",63,"oneBackFPMain",-0.00938282222091564
"136",63,"interaction",7.63637642008288e-06
"137",64,"intercept",5.01649619127614
"138",64,"fpMain",-0.000530850160548703
"139",64,"oneBackFPMain",-0.00959449249065163
"140",64,"interaction",5.57986463252744e-06
"141",65,"intercept",5.15922708401893
"142",65,"fpMain",-0.00100499303787586
"143",65,"oneBackFPMain",-0.0101969906724038
"144",65,"interaction",4.75724191777963e-06
"145",66,"intercept",5.62061198881569
"146",66,"fpMain",-0.000331853791598543
"147",66,"oneBackFPMain",-0.0106570456635979
"148",66,"interaction",4.05321759863309e-06
"149",67,"intercept",5.2962716349691
"150",67,"fpMain",0.000891846857648801
"151",67,"oneBackFPMain",-0.00996926593599271
"152",67,"interaction",4.85578503694117e-06
"153",68,"intercept",5.02492978340968
"154",68,"fpMain",0.00122726634373843
"155",68,"oneBackFPMain",-0.0100889713884505
"156",68,"interaction",6.92477417664434e-06
"157",69,"intercept",5.59808361728171
"158",69,"fpMain",0.00203734981040819
"159",69,"oneBackFPMain",-0.0081903523734652
"160",69,"interaction",7.76776669535725e-06
"161",70,"intercept",5.89971349165009
"162",70,"fpMain",0.00217157103080544
"163",70,"oneBackFPMain",-0.00836163525006917
"164",70,"interaction",7.8021233102611e-06
"165",71,"intercept",5.73593874201856
"166",71,"fpMain",0.000891391110888956
"167",71,"oneBackFPMain",-0.0101728958193967
"168",71,"interaction",8.15064753968419e-06
"169",72,"intercept",5.97404634710111
"170",72,"fpMain",0.000858003497787364
"171",72,"oneBackFPMain",-0.00854227831394653
"172",72,"interaction",1.14177462925144e-05
"173",73,"intercept",5.64602479448043
"174",73,"fpMain",0.00107620206190639
"175",73,"oneBackFPMain",-0.0095392265419144
"176",73,"interaction",1.40315739248233e-05
"177",74,"intercept",4.75287767877037
"178",74,"fpMain",0.00225253441473033
"179",74,"oneBackFPMain",-0.00753248311863129
"180",74,"interaction",1.13757250820742e-05
"181",75,"intercept",5.07701891795664
"182",75,"fpMain",0.00150120619554346
"183",75,"oneBackFPMain",-0.00777893993547514
"184",75,"interaction",8.04877287939813e-06
"185",76,"intercept",5.04231498499863
"186",76,"fpMain",0.00144632806204938
"187",76,"oneBackFPMain",-0.00659179349261679
"188",76,"interaction",5.61876740344703e-06
"189",77,"intercept",4.89287039116843
"190",77,"fpMain",0.00189621637358119
"191",77,"oneBackFPMain",-0.00668155895340667
"192",77,"interaction",6.86530558718781e-06
"193",78,"intercept",4.90791685464312
"194",78,"fpMain",0.00168939064916842
"195",78,"oneBackFPMain",-0.00626116662378022
"196",78,"interaction",5.94642205431693e-06
"197",79,"intercept",5.0243827249646
"198",79,"fpMain",0.00254265307515455
"199",79,"oneBackFPMain",-0.00593088292017178
"200",79,"interaction",3.90373180826146e-06
"201",80,"intercept",4.97866228418014
"202",80,"fpMain",0.00211387655552774
"203",80,"oneBackFPMain",-0.00594873096938912
"204",80,"interaction",5.82880522878346e-06
"205",81,"intercept",5.44561053502946
"206",81,"fpMain",0.000553322574709023
"207",81,"oneBackFPMain",-0.00650233214261927
"208",81,"interaction",7.68798868353588e-06
"209",82,"intercept",5.72275736099557
"210",82,"fpMain",0.00290844193014928
"211",82,"oneBackFPMain",-0.00663181818030229
"212",82,"interaction",6.82845959679469e-06
"213",83,"intercept",5.36190252906905
"214",83,"fpMain",0.00307658941054564
"215",83,"oneBackFPMain",-0.00802076136118865
"216",83,"interaction",7.96819151835382e-06
"217",84,"intercept",5.53559046936059
"218",84,"fpMain",0.00330075201295605
"219",84,"oneBackFPMain",-0.00844041134200015
"220",84,"interaction",1.05496564145693e-05
"221",85,"intercept",5.72453624997698
"222",85,"fpMain",0.00280651362358068
"223",85,"oneBackFPMain",-0.00888951992842199
"224",85,"interaction",1.13886329441838e-05
"225",86,"intercept",6.07618845392161
"226",86,"fpMain",0.00389382328613603
"227",86,"oneBackFPMain",-0.00909793619677217
"228",86,"interaction",1.04652832515026e-05
"229",87,"intercept",6.28315763009452
"230",87,"fpMain",0.00419673332610125
"231",87,"oneBackFPMain",-0.00896259837903325
"232",87,"interaction",1.13836818259308e-05
"233",88,"intercept",5.82060131794441
"234",88,"fpMain",0.00494276701948168
"235",88,"oneBackFPMain",-0.0102897226646368
"236",88,"interaction",1.12258044111282e-05
"237",89,"intercept",5.99950409329576
"238",89,"fpMain",0.00544618724663194
"239",89,"oneBackFPMain",-0.0109561625369082
"240",89,"interaction",1.11496495160326e-05
"241",90,"intercept",6.39614157669144
"242",90,"fpMain",0.00530479720280373
"243",90,"oneBackFPMain",-0.00993580246423811
"244",90,"interaction",1.04470467322655e-05
"245",91,"intercept",6.29902342283078
"246",91,"fpMain",0.00573695821529925
"247",91,"oneBackFPMain",-0.00949324459364385
"248",91,"interaction",1.27565752032718e-05
"249",92,"intercept",6.16362852658947
"250",92,"fpMain",0.00482003525226666
"251",92,"oneBackFPMain",-0.00946205989244097
"252",92,"interaction",1.2253429424968e-05
"253",93,"intercept",5.85205574762715
"254",93,"fpMain",0.0061403659957537
"255",93,"oneBackFPMain",-0.00882815618373369
"256",93,"interaction",1.23398414763537e-05
"257",94,"intercept",6.16672466380978
"258",94,"fpMain",0.00705781674437032
"259",94,"oneBackFPMain",-0.00989716483155282
"260",94,"interaction",1.10742187249792e-05
"261",95,"intercept",6.06730396651423
"262",95,"fpMain",0.00720757625434853
"263",95,"oneBackFPMain",-0.00891303361508712
"264",95,"interaction",1.02865774498246e-05
"265",96,"intercept",5.99902097262989
"266",96,"fpMain",0.00759938906765374
"267",96,"oneBackFPMain",-0.00960349229792721
"268",96,"interaction",9.67203492114939e-06
"269",97,"intercept",6.14068190160045
"270",97,"fpMain",0.00721836786114864
"271",97,"oneBackFPMain",-0.0100471729868762
"272",97,"interaction",1.06568841919077e-05
"273",98,"intercept",5.75654336677499
"274",98,"fpMain",0.00678262152536811
"275",98,"oneBackFPMain",-0.00936561156486491
"276",98,"interaction",1.3278565560147e-05
"277",99,"intercept",5.38211714496084
"278",99,"fpMain",0.00776088812172894
"279",99,"oneBackFPMain",-0.00944336501494131
"280",99,"interaction",1.38185871045332e-05
"281",100,"intercept",4.64513916900561
"282",100,"fpMain",0.0083996114572351
"283",100,"oneBackFPMain",-0.00882347642114742
"284",100,"interaction",1.22417799870584e-05
"285",101,"intercept",4.60985971852258
"286",101,"fpMain",0.00855977813609468
"287",101,"oneBackFPMain",-0.0079166157164342
"288",101,"interaction",1.1034275941214e-05
"289",102,"intercept",4.66733359278649
"290",102,"fpMain",0.00853490139381868
"291",102,"oneBackFPMain",-0.00818842593359647
"292",102,"interaction",1.15110380598458e-05
"293",103,"intercept",4.24770118767472
"294",103,"fpMain",0.00831992938150762
"295",103,"oneBackFPMain",-0.00922575235964856
"296",103,"interaction",1.13268493504141e-05
"297",104,"intercept",3.88890694378079
"298",104,"fpMain",0.00956958668776186
"299",104,"oneBackFPMain",-0.00773302131226202
"300",104,"interaction",1.01472206407156e-05
"301",105,"intercept",4.00036859878777
"302",105,"fpMain",0.0108188079371704
"303",105,"oneBackFPMain",-0.00713979291139681
"304",105,"interaction",1.18717729032694e-05
"305",106,"intercept",4.80529643357315
"306",106,"fpMain",0.0112032418069053
"307",106,"oneBackFPMain",-0.00614570089933312
"308",106,"interaction",1.03293483100584e-05
"309",107,"intercept",5.90924652397267
"310",107,"fpMain",0.0106336994647945
"311",107,"oneBackFPMain",-0.00553346883773822
"312",107,"interaction",1.21965392538398e-05
"313",108,"intercept",6.77760644992469
"314",108,"fpMain",0.0113861747142603
"315",108,"oneBackFPMain",-0.00541782813462077
"316",108,"interaction",1.27220334658664e-05
"317",109,"intercept",7.20224544329176
"318",109,"fpMain",0.0107989911855765
"319",109,"oneBackFPMain",-0.00412902661732531
"320",109,"interaction",1.36173333913251e-05
"321",110,"intercept",7.50446064524874
"322",110,"fpMain",0.0101749761363137
"323",110,"oneBackFPMain",-0.00352346894204659
"324",110,"interaction",9.64122808423278e-06
"325",111,"intercept",7.92708226857842
"326",111,"fpMain",0.0100475795609007
"327",111,"oneBackFPMain",-0.00501260962635132
"328",111,"interaction",9.01730655684189e-06
"329",112,"intercept",8.1008329360607
"330",112,"fpMain",0.00934038710350676
"331",112,"oneBackFPMain",-0.00575514267736352
"332",112,"interaction",5.37813171782497e-06
"333",113,"intercept",7.61540707905282
"334",113,"fpMain",0.00941722198303827
"335",113,"oneBackFPMain",-0.00604485504327888
"336",113,"interaction",8.19772784661568e-06
"337",114,"intercept",7.82917004070588
"338",114,"fpMain",0.00941712656521719
"339",114,"oneBackFPMain",-0.00523627059207134
"340",114,"interaction",1.03152761212441e-05
"341",115,"intercept",8.13493898273072
"342",115,"fpMain",0.00948312568809798
"343",115,"oneBackFPMain",-0.00658827620501906
"344",115,"interaction",1.26734169266385e-05
"345",116,"intercept",8.15653841856362
"346",116,"fpMain",0.00952036592832744
"347",116,"oneBackFPMain",-0.00819698091842436
"348",116,"interaction",1.16085992851022e-05
"349",117,"intercept",8.73154685688838
"350",117,"fpMain",0.0106612154090619
"351",117,"oneBackFPMain",-0.00938433717870195
"352",117,"interaction",9.18749446867835e-06
"353",118,"intercept",8.87286380266515
"354",118,"fpMain",0.0097066573935142
"355",118,"oneBackFPMain",-0.00838869486980747
"356",118,"interaction",9.04837163419128e-06
"357",119,"intercept",8.56092381987086
"358",119,"fpMain",0.0109114097423181
"359",119,"oneBackFPMain",-0.00807227148225395
"360",119,"interaction",8.19101951804125e-06
"361",120,"intercept",9.71633213930664
"362",120,"fpMain",0.00878567851249353
"363",120,"oneBackFPMain",-0.00673681627211024
"364",120,"interaction",4.41733565556946e-06
"365",121,"intercept",10.4152858343407
"366",121,"fpMain",0.00913949241231898
"367",121,"oneBackFPMain",-0.00581047622260651
"368",121,"interaction",3.18574193512638e-06
"369",122,"intercept",10.5736053597509
"370",122,"fpMain",0.00917334821066857
"371",122,"oneBackFPMain",-0.0065492458028262
"372",122,"interaction",1.4870734930022e-06
"373",123,"intercept",10.5715748562581
"374",123,"fpMain",0.00941063821265278
"375",123,"oneBackFPMain",-0.00600111478437282
"376",123,"interaction",3.13179908997814e-06
"377",124,"intercept",10.8693117063357
"378",124,"fpMain",0.0091632321196634
"379",124,"oneBackFPMain",-0.00476706061027741
"380",124,"interaction",5.39403336236875e-06
"381",125,"intercept",11.0611578052601
"382",125,"fpMain",0.0103864476770906
"383",125,"oneBackFPMain",-0.00405651753656672
"384",125,"interaction",3.55742221379098e-06
"385",126,"intercept",11.2491029154115
"386",126,"fpMain",0.00956778239271532
"387",126,"oneBackFPMain",-0.00372401914857475
"388",126,"interaction",9.28833379116001e-07
"389",127,"intercept",11.345304821899
"390",127,"fpMain",0.00932478716738185
"391",127,"oneBackFPMain",-0.00369627017623004
"392",127,"interaction",1.26526357587807e-06
"393",128,"intercept",11.3576647692464
"394",128,"fpMain",0.00684790577343723
"395",128,"oneBackFPMain",-0.00351729275807932
"396",128,"interaction",-6.30266140676514e-06
"397",129,"intercept",11.5718505351131
"398",129,"fpMain",0.00851943489638154
"399",129,"oneBackFPMain",-0.00370012603751219
"400",129,"interaction",-8.13123192354406e-06
"401",130,"intercept",11.158370427185
"402",130,"fpMain",0.00954488042530011
"403",130,"oneBackFPMain",-0.00302356504599656
"404",130,"interaction",-1.06820620759124e-05
"405",131,"intercept",11.7234179964849
"406",131,"fpMain",0.00913871358811322
"407",131,"oneBackFPMain",-0.00323711954310646
"408",131,"interaction",-1.47805264458427e-05
"409",132,"intercept",12.1084949257671
"410",132,"fpMain",0.00983756378501133
"411",132,"oneBackFPMain",-0.00205985793064513
"412",132,"interaction",-1.71282422503049e-05
"413",133,"intercept",12.1878582967412
"414",133,"fpMain",0.00939036754752677
"415",133,"oneBackFPMain",-0.00145986849784003
"416",133,"interaction",-1.65692556043851e-05
"417",134,"intercept",12.1100226465541
"418",134,"fpMain",0.00943121353841605
"419",134,"oneBackFPMain",-0.000317932723263031
"420",134,"interaction",-1.51081071737552e-05
"421",135,"intercept",12.1963049357701
"422",135,"fpMain",0.00871562090951079
"423",135,"oneBackFPMain",-0.000261384187174943
"424",135,"interaction",-1.6286879681063e-05
"425",136,"intercept",11.8308707144324
"426",136,"fpMain",0.00933528182176495
"427",136,"oneBackFPMain",-0.000287206231196768
"428",136,"interaction",-1.40026972800164e-05
"429",137,"intercept",12.764020451361
"430",137,"fpMain",0.0093016221181213
"431",137,"oneBackFPMain",-0.000935001814601334
"432",137,"interaction",-1.27266051014427e-05
"433",138,"intercept",12.4442045233444
"434",138,"fpMain",0.00706958817185686
"435",138,"oneBackFPMain",0.000827916120287841
"436",138,"interaction",-8.93695473095528e-06
"437",139,"intercept",12.2790506255029
"438",139,"fpMain",0.00754894288040513
"439",139,"oneBackFPMain",0.00149637066581987
"440",139,"interaction",-9.58988994714253e-06
"441",140,"intercept",12.2008973609529
"442",140,"fpMain",0.0082557594099706
"443",140,"oneBackFPMain",0.00185352915970434
"444",140,"interaction",-1.43394022666149e-05
"445",141,"intercept",11.5666270613763
"446",141,"fpMain",0.00776856771897929
"447",141,"oneBackFPMain",0.00192104996636497
"448",141,"interaction",-1.28099855203713e-05
"449",142,"intercept",12.5042890164133
"450",142,"fpMain",0.00618341340880295
"451",142,"oneBackFPMain",0.00202400287733065
"452",142,"interaction",-1.3474338734824e-05
"453",143,"intercept",12.5977774526616
"454",143,"fpMain",0.00595638354809642
"455",143,"oneBackFPMain",0.00214640864511484
"456",143,"interaction",-1.12810346800864e-05
"457",144,"intercept",12.5294913448198
"458",144,"fpMain",0.00695377833706544
"459",144,"oneBackFPMain",0.00227336909067699
"460",144,"interaction",-9.20487147364862e-06
"461",145,"intercept",12.5852711426565
"462",145,"fpMain",0.00629273339979826
"463",145,"oneBackFPMain",0.00356609698083933
"464",145,"interaction",-1.1297776736807e-05
"465",146,"intercept",13.3277564272859
"466",146,"fpMain",0.00474695490325937
"467",146,"oneBackFPMain",0.00436933856186973
"468",146,"interaction",-1.21828128831302e-05
"469",147,"intercept",14.1479036715902
"470",147,"fpMain",0.00511102717608963
"471",147,"oneBackFPMain",0.00272398438693654
"472",147,"interaction",-1.43946215006706e-05
"473",148,"intercept",14.0058987340546
"474",148,"fpMain",0.00483734345237068
"475",148,"oneBackFPMain",0.00323156155895895
"476",148,"interaction",-1.53863018991908e-05
